textid,poem,endwords,goldvector
1,POEM0,laureate race at case at place eye pye,1 2 1 2 1 2 3 3
2,POEM0,sing good king food wing hood nation explanation,1 2 1 2 1 2 3 3
3,POEM0,know wish below dish so fish high dry,1 2 1 2 1 2 3 3
4,POEM0,excursion pages version sages assertion rages able babel,1 2 1 2 1 2 3 3
5,POEM0,seclusion own fusion grown conclusion alone notion ocean,1 2 1 2 1 2 3 3
6,POEM0,thought vice brought price wrought excise still hill,1 2 1 2 1 2 3 3
7,POEM0,brows go boughs below allows glow try posterity,1 2 1 2 1 2 3 3
8,POEM0,muses steed chooses need loses meed days praise,1 2 1 2 1 2 3 3
9,POEM0,posterity reversion he assertion rarity immersion go know,1 2 1 2 1 2 3 3
10,POEM0,tongues time wrongs sublime songs crime son begun,1 2 1 2 1 2 3 3
11,POEM0,arise more prophecies hoar eyes poor obey castlereagh,1 2 1 2 1 2 3 3
12,POEM0,miscreant gore pant shore want more fixed mixed,1 2 1 2 1 2 3 3
13,POEM0,phrase vile praise smile blaze toil notion motion,1 2 1 2 1 2 3 3
14,POEM0,trade behind afraid confined made mankind chains gains,1 2 1 2 1 2 3 3
15,POEM0,mind it bind fit blind wit ice vice,1 2 1 2 1 2 3 3
16,POEM0,bonds italy desponds thee wounds me still ill,1 2 1 2 1 2 3 3
17,POEM0,dedicate you predicate blue educate too quite ultrajulian,1 2 1 2 1 2 3 3
18,POEM1,want one cant one vaunt juan pantomime time,1 2 1 2 1 2 3 3
19,POEM1,hawke howe talk now stalk sow dumourier courier,1 2 1 2 1 2 3 3
20,POEM1,mirabeau fayette know yet moreau set times rhymes,1 2 1 2 1 2 3 3
21,POEM1,war turnd trafalgar inurnd popular concernd landservice jervis,1 2 1 2 1 2 3 3
22,POEM1,agamemnon sage none page none age one juan,1 2 1 2 1 2 3 3
23,POEM1,res road please episode ease abode cavern tavern,1 2 1 2 1 2 3 3
24,POEM1,mine beginning design sinning line spinning father rather,1 2 1 2 1 2 3 3
25,POEM1,city womenhe pity agree pretty see river guadalquivir,1 2 1 2 1 2 3 3
26,POEM1,course stain source spain horse again who renew,1 2 1 2 1 2 3 3
27,POEM1,famed known named alone ashamed groan exceeded did,1 2 1 2 1 2 3 3
28,POEM1,heart lope part copy art shophe as inez,1 2 1 2 1 2 3 3
29,POEM1,mathematical magnanimity all sublimity call dimity muslin puzzling,1 2 1 2 1 2 3 3
30,POEM1,prayer sure there pure care obscure problem em,1 2 1 2 1 2 3 3
31,POEM1,lecture homily selfdirector romilly corrector anomaly vanity insanity,1 2 1 2 1 2 3 3
32,POEM1,calculation covers education lovers personification discovers fall all,1 2 1 2 1 2 3 3
33,POEM1,parallel comparison hell garrison well harrison her macassar,1 2 1 2 1 2 3 3
34,POEM1,is ours kiss bowers bliss hours eve leave,1 2 1 2 1 2 3 3
