textid,words,sylls,ltrvec,perf,isrhymed
1,all paradise cries carnival old feet gold end greet friend,all ise ies al old eet old end eet iend,A B B A C D C E D E,1 1 1 0 1 1 1 1 1 0,1
2,wise eyes star night afar light hours lawn dancingplaces flowers childfaces dawn,ise eyes ar ight ar ight urs awn es ers es awn,A B C D C D E F G H G F,1 0 1 1 1 1 0 1 0 0 0 1,1
3,eyes hands dies sands,eyes ands ies ands,A B C B,0 0 0 0,2
4,making crowned waking sound,ing owned ing ound,A B A B,1 0 1 0,1
5,sight fargleaming twilight dreaming,ight ing ight ing,A B A B,1 1 1 1,1
6,drear deep there weep,ear eep ere eep,A B A B,1 1 1 1,1
7,flowers us hours tenebrous,ers us urs ous,A B C B,0 1 0 1,2
8,meadows fills shadows hills,ows ills ows ills,A B A B,0 0 0 0,1
9,wing dear remembering here,ing ear ing ere,A B A B,1 1 1 1,1
10,within only lonely win crying sighing yearning unburning ecstasy lie,in y y in ying ing ing ing y ie,A B B A C D D D B B,1 1 1 1 0 1 1 1 1 1,1
11,tread head wings fire desire things ways bands hands strays praise cries height eyes light,ead ead ings ire ire ings ays ands ands ays aise ies eight eyes ight,A A B C C B D E E D D F G H I,1 1 0 1 1 0 0 0 0 0 0 0 1 0 1,1
12,sky clover cry cry over sigh lover over i recover over die,y er y y er igh er er i er er ie,A B A A B A B B C B B A,1 0 1 1 0 0 0 0 0 0 0 1,1
13,wearily sky over sky i lover die sky,y y er y i er ie y,A A B A C B A A,1 1 0 1 0 0 1 1,1
14,asleep face cheap place making,eep ace eap ace ing,A B A B C,1 1 1 1 1,1
15,halfover eyes lover sighs abreaking,er eyes er ighs ing,A B A C D,0 0 0 0 1,2
16,quiver slime shiver time ashaking,er ime er ime ing,A B A B C,0 1 0 1 1,1
17,world sky furled lie never sunlight ever night,orld y urled ie er ight er ight,A B A B C D C D,1 1 1 1 0 1 0 1,1
18,fall therein thin flowerpetal again plain,all ein in al ain ain,A B C A B B,1 1 1 0 1 1,1
19,band men again strand unknown shade alone afraid,and en ain and own ade one aid,A B C A D E D E,1 1 1 1 1 1 0 1,1
20,me moon inland tune sand sea,e oon and une and ea,A B C B C A,1 1 1 0 1 1,1
21,mother other shade afraid,er er ade aid,A A B B,0 0 1 1,1
22,pain her again her woe sighing do dying,ain er ain er oe ing o ying,A B A B C D C E,1 0 1 0 1 1 1 0,1
23,her her pride died,er er ide ied,A A B B,0 0 1 1,1
24,strong stronger long longer woe sighing do dying,ong er ong er oe ing o ying,A B A B C D C E,1 0 1 0 1 1 1 0,1
25,skies eyes find wind west quest trod god fills hills come dumb song long beat feet unreturning burning kin therein dwell lovable how thou roaming homing desire fire bliss this still hill shade unafraid sees trees white night,ies eyes ind ind est est od od ills ills ome umb ong ong eat eet ing ing in ein ell able ow ou ing ing ire ire iss is ill ill ade aid ees ees ite ight,A B C C D D E E F F G G H H I I J J K L M N O O J J P P Q Q R R S S T T U U,0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1,1
26,away day night asleep creep delight say,ay ay ight eep eep ight ay,A A B C C B A,1 1 1 1 1 1 1,1
27,dumb come door feet meet more street,umb ome oor eet eet ore eet,A A C D D C D,0 1 1 1 1 0 1,1
28,places mire faces us desire amorous,es ire es us ire ous,A B A C B C,0 1 0 1 1 1,1
29,fate desire gate fire blasphemy feet beat cry,ate ire ate ire y eet eat y,A B A B C A A C,1 1 1 1 1 1 0 1,1
30,sun grown begun councilhalls throne walls,un own un alls one alls,A B A C B C,1 1 1 0 0 0,1
31,worshipper litanies myrrh sighs err vanities wanderer skies seawater chalices wanderer cries whirr votaries stir mysteries tenderer is luteplayer,er ies yrrh ighs err ies er ies er es er ies irr ies ir ies er is yer,A B C D A B A B A E A B F B G B A H I,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0,1
32,sweat roar yet more slimywet more yet snore,eat oar yet ore et ore yet ore,A B C B A B C B,1 1 0 1 0 1 0 1,1
33,again rain somewhere air before snore,ain ain ere air ore ore,A A B B C C,1 1 1 0 1 1,1
34,sleep eternity deep me,eep y eep e,A B A C,1 1 1 1,2
35,bars curse stars universe,ars urse ars erse,A B A B,0 1 0 0,1
36,broken passed token last,en assed en ast,A B A B,1 0 1 0,1
37,anew song you strong,ew ong ou ong,A B C B,1 1 0 1,2
38,wise flame skies name,ise ame ies ame,A B A B,1 1 1 1,1
39,thereunder fire thunder desire,er ire er ire,A B A B,0 1 0 1,1
40,spaces silently faces infinity,es y es y,A B A B,0 1 0 1,1
41,love one above alone,ove one ove one,A B A B,1 1 1 1,1
42,restingplace while embrace smile away day mile face,ace ile ace ile ay ay ile ace,A B A B C C B A,1 1 1 1 1 1 1 1,1
43,somewhere know light go there night,ere ow ight o ere ight,A B C B A C,1 1 1 1 1 1,1
44,friends ends fair hair were,ends ends air air ere,A A B B B,1 1 1 1 1,1
45,again pain know so evening sunrising stand hand hair were old gold,ain ain ow o ing ing and and air ere old old,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 1 1 1 1,1
46,wise eyes memories,ise eyes ies,A B A,1 0 1,1
47,tire suddenly mire patiently,ire y ire y,A B A B,1 1 1 1,1
48,blowing tide unknowing died,ing ide ing ied,A B A B,1 1 1 1,1
49,dream host gleam ghost,eam ost eam ost,A B A B,1 1 1 1,1
50,head dead,ead ead,A A,1 1,1
51,true sea you me unwist hell mist tell whom dress gloom loneliness sigh i,ue ea ou e ist ell ist ell om ess oom ess igh i,A B A B C D C D E F E F G H,1 1 0 1 1 1 1 1 1 1 0 1 1 0,1
52,wanted eyes granted wise fear shamed near tamed touch you much do unspoken awoken,anted eyes anted ise ear amed ear amed ouch ou uch o en en,A B A C D E D E F G F G H H,1 1 0 1 1 0 1 0 1 0 0 0 1 1,1
53,gone delight alone night,one ight one ight,A B A B,1 1 1 1,1
54,death thrust breath dust,eath ust eath ust,A B A B,1 1 1 1,1
55,yet unsatisfied flit died,yet ied it ied,A B C B,0 0 1 0,2
56,sun unconfined run wind,un ined un ind,A B A B,1 0 1 0,1
57,air days fare ways,air ays are ays,A B A B,1 0 1 0,1
58,lie view i you,ie iew i ou,A B C D,1 0 0 0,0
59,wind afterglow find grow,ind ow ind ow,A B A B,1 1 1 1,1
60,desiring air quiring there,ing air ing ere,A B A B,1 1 1 1,1
61,dew height hue light,ew eight ue ight,A B A C,1 1 0 1,2
62,higher learn fire burn,er earn ire urn,A B C B,0 1 1 0,2
63,glow above know love,ow ove ow ove,A B A B,1 1 1 1,1
64,kindliness press dream stuff enough seem playing saying grown kindliness known less own caress,ess ess eam uff ough eem ying ying own ess own ess own ess,A A B C C B D D E A E A E A,1 1 1 1 1 1 0 0 1 1 1 1 1 1,1
65,flame shame eyes do two wise away skies stay content day lament,ame ame eyes o o ise ay ies ay ent ay ent,A A B C C D E D E F E F,1 1 0 1 1 1 1 1 1 1 1 1,1
66,and hand near hear skies eyes before more dress kindliness,and and ear ear ies eyes ore ore ess ess,A A B B C D E E F F,1 1 1 1 0 0 1 1 1 1,1
67,mummia lead africa bed,ia ead a ed,A B C B,0 1 0 0,2
68,medicined dust find lust,ined ust ind ust,A B A B,0 1 0 1,1
69,rhyme infinity time ecstasy,yme y ime y,A B A B,0 1 0 1,1
70,me skies see eyes,e ies ee eyes,A B A C,1 0 1 0,2
71,dead place head face,ead ace ead ace,A B A B,1 1 1 1,1
72,limbs wreathe hymns breathe,imbs eathe ymns eathe,A B C B,0 1 0 1,2
73,it press lit nakedness,it ess it ess,A B A B,1 1 1 1,1
74,clung mine flung divine,ung ine ung ine,A B A B,1 1 1 1,1
75,shaded bliss faded this,aded iss aded is,A B A B,0 1 0 0,1
76,lies ecstasies steal feel stream dream glides tides him dim gape shape hollow follow dream stream world curled arrows narrows one sun deep sleep illumes glooms subdues hues decomposes roses skies eyes white night green between one dun knows grows falling calling mud blood still will he memory driven heaven,ies ies eal eel eam eam ides ides im im ape ape ow ow eam eam orld urled ows ows one un eep eep umes oms ues ues es es ies eyes ite ight een een one un ows ows ing ing ud ood ill ill e y en en,A A B B C C D D C C E E F F C C G G H H I I E E J K L L M M A N O O P P I I H H Q Q R R B B S S T T,0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1,1
77,laughter after cries rise above love clinging singing sound around above love,er er ies ise ove ove ing ing ound ound ove ove,A A B B C C D D E E C C,0 0 0 0 1 1 1 1 1 1 1 1,1
78,there bare whisperless deliciousness tide glide harmonies is blood mud sun run dim him,ere are ess ess ide ide ies is ood ud un un im im,A A B B C C D E F F G G H H,1 0 1 1 1 1 0 1 1 0 1 1 1 1,1
